ID,Lake,Time,Cohort ,Date_of_Collection,Fish_Num,Day,Width,Temperature,SL
1,GHP,Late,Late_Int,150608,82,1,1.383144794,18.41389,4.6
2,GHP,Late,Late_Int,150608,82,2,1.399605592,18.37811,4.6
3,GHP,Late,Late_Int,150608,82,3,1.679533124,18.34232,4.6
4,GHP,Late,Late_Int,150608,82,4,1.619153671,18.30654,4.6
5,GHP,Late,Late_Int,150608,84,1,1.572337064,18.48546,7.2
6,GHP,Late,Late_Int,150608,84,2,2.451644716,18.44968,7.2
7,GHP,Late,Late_Int,150608,84,3,2.450762492,18.41389,7.2
8,GHP,Late,Late_Int,150608,84,4,1.782451902,18.37811,7.2
9,GHP,Late,Late_Int,150608,84,5,1.958139186,18.34232,7.2
10,GHP,Late,Late_Int,150608,84,6,1.823061705,18.30654,7.2
11,GHP,Late,Late_Int,150608,85,2,1.657691529,18.44968,5.9
12,GHP,Late,Late_Int,150608,85,3,1.270011843,18.41389,5.9
13,GHP,Late,Late_Int,150608,85,4,1.262686952,18.37811,5.9
14,GHP,Late,Late_Int,150608,85,5,1.385404862,18.34232,5.9
15,GHP,Late,Late_Int,150608,85,6,0.99772331,18.30654,5.9
16,GHP,Late,Late_Int,150608,93,1,0.884480026,18.52125,4.8
17,GHP,Late,Late_Int,150608,93,2,1.400298422,18.48546,4.8
18,GHP,Late,Late_Int,150608,93,3,1.219064942,18.44968,4.8
19,GHP,Late,Late_Int,150608,93,4,0.959607667,18.41389,4.8
20,GHP,Late,Late_Int,150608,93,5,1.319750422,18.37811,4.8
21,GHP,Late,Late_Int,150608,93,6,1.126899984,18.34232,4.8
22,GHP,Late,Late_Int,150608,93,7,1.014596252,18.30654,4.8
23,GHP,Late,Late_Int,150608,95,2,2.508155257,18.48546,6.5
24,GHP,Late,Late_Int,150608,95,3,2.697587922,18.44968,6.5
25,GHP,Late,Late_Int,150608,95,4,1.68329461,18.41389,6.5
26,GHP,Late,Late_Int,150608,95,5,2.148474833,18.37811,6.5
27,GHP,Late,Late_Int,150608,95,6,2.906201339,18.34232,6.5
28,GHP,Late,Late_Int,150608,95,7,1.335604008,18.30654,6.5
29,GHP,Late,Late_Int,150608,96,1,2.292414386,18.44968,5.5
30,GHP,Late,Late_Int,150608,96,2,1.734352858,18.41389,5.5
31,GHP,Late,Late_Int,150608,96,3,1.386448005,18.37811,5.5
32,GHP,Late,Late_Int,150608,96,4,1.372493407,18.34232,5.5
33,GHP,Late,Late_Int,150608,96,5,1.638719241,18.30654,5.5
34,GHP,Late,Late_Int,150608,97,1,2.31276546,18.44968,6.1
35,GHP,Late,Late_Int,150608,97,2,2.176491789,18.41389,6.1
36,GHP,Late,Late_Int,150608,97,3,2.285895309,18.37811,6.1
37,GHP,Late,Late_Int,150608,97,4,2.629446481,18.34232,6.1
38,GHP,Late,Late_Int,150608,97,5,2.600662274,18.30654,6.1
39,GHP,Late,Late_Int,150608,98,1,2.441069179,18.52125,6.6
40,GHP,Late,Late_Int,150608,98,2,2.234265471,18.48546,6.6
41,GHP,Late,Late_Int,150608,98,3,1.857335758,18.44968,6.6
42,GHP,Late,Late_Int,150608,98,4,1.803098019,18.41389,6.6
43,GHP,Late,Late_Int,150608,98,5,1.384027955,18.37811,6.6
