,Ceratium,detritus,other,ciliate,pollen,Nauplii,Karatella,Polyarthra,Asplanchna,Tricocera,Mallomonas,Unk_Rotifer_Veliger,colony
D20181116T194857_IFCB109,0,4,1492,0,0,1,17,0,2,0,106,0,0
D20181116T203921_IFCB109,0,0,1,0,0,1,29,1,4,1,98,0,0
D20181116T212345_IFCB109,0,0,106,0,1,5,54,2,7,4,317,0,0
D20181211T193952_IFCB109,0,18,0,0,2,0,30,6,3,15,0,0,0
D20181211T203644_IFCB109,0,3908,0,0,2,0,35,3,1,8,118,0,0
D20181211T212849_IFCB109,0,3431,5650,0,1,1,34,4,2,10,13,0,0
D20181214T180151_IFCB109,5,34,8014,0,0,0,1,7,1,0,994,0,0
D20181214T185934_IFCB109,10,0,11,0,0,1,3,4,1,1,1029,0,0
D20181214T193955_IFCB109,9,0,3,0,0,1,1,5,2,1,994,0,0
D20181217T161625_IFCB109,1,7,4822,0,0,0,8,4,4,5,121,1,0
D20181217T170141_IFCB109,0,0,2,2,0,1,11,4,5,1,138,1,0
D20181217T175831_IFCB109,0,1,1,0,0,0,9,6,8,2,119,1,0
D20181217T185727_IFCB109,0,0,2,0,0,0,2,24,3,3,17,13,0
D20181217T192417_IFCB109,0,0,3,0,0,0,2,27,0,2,15,0,0
D20181217T194944_IFCB109,0,0,0,0,0,0,3,17,0,2,9,12,0
D20181220T184031_IFCB109,0,4,5584,0,0,0,2,12,0,1,183,0,0
D20181220T190438_IFCB109,0,2,0,2,0,1,1,17,0,5,196,0,0
D20181220T195228_IFCB109,0,2,5606,0,20,0,0,12,1,0,233,0,0
D20181227T164530_IFCB109,0,1,0,0,0,1,3,5,3,2,15,0,3
D20181227T171125_IFCB109,0,0,0,0,0,0,5,0,0,3,7,0,4
D20181227T173624_IFCB109,0,2,0,0,0,0,0,0,1,0,3,0,0
D20181227T181034_IFCB109,0,1,0,0,0,1,1,0,2,1,5,0,33
D20181227T183852_IFCB109,0,0,0,0,0,0,0,2,3,1,5,0,36
D20181227T190759_IFCB109,0,0,3,0,0,1,1,0,1,2,7,0,51
D20181227T194017_IFCB109,0,0,0,0,0,1,0,1,0,0,78,0,0
D20181227T205038_IFCB109,0,0,0,0,0,0,2,1,0,2,75,0,0
D20181227T211508_IFCB109,0,0,0,0,0,0,2,1,0,0,52,0,0
D20181228T142610_IFCB109,0,0,0,0,0,0,8,0,9,0,37,0,0
D20181228T145633_IFCB109,0,0,1,0,0,0,9,4,9,0,68,0,0
D20181228T152348_IFCB109,0,0,0,0,0,0,9,4,10,0,51,0,0
D20181228T155659_IFCB109,0,0,2,0,0,0,3,6,0,0,23,0,0
D20181228T162949_IFCB109,0,0,3,0,0,0,2,13,3,0,21,0,0
D20181228T165312_IFCB109,0,0,3,0,0,0,4,10,4,0,21,0,0
D20181228T172625_IFCB109,0,0,0,0,0,1,2,3,2,0,5,0,0
D20181228T175247_IFCB109,0,0,0,0,0,0,0,0,0,0,4,0,0
D20181228T182940_IFCB109,0,0,0,0,0,0,2,0,0,0,4,0,0
D20181228T191403_IFCB109,0,0,0,0,0,0,1,1,9,0,4,0,0
D20181228T193952_IFCB109,0,0,0,0,0,0,1,0,13,1,17,0,0
D20181228T200842_IFCB109,0,0,2,0,0,0,4,1,11,1,7,0,0
D20181228T203804_IFCB109,0,0,2,0,0,1,20,19,3,0,170,0,1
D20181228T210146_IFCB109,0,0,0,0,0,3,29,13,1,3,38,0,0
D20181228T212455_IFCB109,0,0,0,0,0,3,18,18,0,0,16,0,0
D20181229T182336_IFCB109,0,1,0,0,0,2,60,0,0,0,1221,0,0
D20181229T185347_IFCB109,0,0,0,0,0,0,52,1,0,1,1064,0,1
D20181229T191852_IFCB109,1,0,0,0,0,1,79,1,1,2,1196,0,0
D20181229T194823_IFCB109,0,0,0,0,0,0,14,1,1,1,379,0,0
D20181229T203232_IFCB109,0,0,0,0,0,0,6,0,1,1,324,0,0
D20181229T205611_IFCB109,0,0,0,0,0,0,5,0,0,2,309,0,0
D20181231T140710_IFCB109,0,1,0,0,0,0,20,2,1,1,136,0,0
D20181231T143916_IFCB109,0,0,0,0,0,0,8,1,1,0,29,0,0
D20181231T150242_IFCB109,0,0,0,0,0,2,1,1,1,0,24,0,0
D20181231T153932_IFCB109,0,0,0,0,0,2,1,0,0,0,19,0,0
D20181231T160246_IFCB109,0,0,0,0,0,2,3,0,0,0,45,0,0
D20181231T162857_IFCB109,0,0,0,0,0,3,2,1,0,0,26,0,0
D20181231T170836_IFCB109,0,0,0,0,0,0,25,9,1,0,19,0,0
D20181231T173550_IFCB109,0,0,0,0,0,2,26,12,0,2,34,0,0
D20181231T180102_IFCB109,0,0,0,0,0,1,33,10,1,3,24,0,0
